card_id,content_id,sort_order,card_name
226,cnt_9029266cd0,2,Зима в Простоквашино (1984)
227,cnt_4b2ed85ca5,1,Зомби по имени Шон (2004)
227,cnt_ecf1dc51b6,2,Зомби по имени Шон (2004)
228,cnt_9a09bea48f,1,Исходный код (2011)
228,cnt_591442fca7,2,Исходный код (2011)
229,cnt_3c02746526,1,Исчезнувшая (2014)
229,cnt_012023a0b1,2,Исчезнувшая (2014)
230,cnt_eafa296c70,1,Как Витька Чеснок вёз Лёху Штыря в дом инвалидов (2017)
230,cnt_8e015130e5,2,Как Витька Чеснок вёз Лёху Штыря в дом инвалидов (2017)
231,cnt_9341d27a66,1,Как приручить дракона (2010)
231,cnt_127bc542a1,2,Как приручить дракона (2010)
232,cnt_1acc0ea5b2,1,Как приручить дракона 2 (2014)
232,cnt_fd5af4aa85,2,Как приручить дракона 2 (2014)
233,cnt_bc0e71ee01,1,Как приручить дракона 3 (2019)
233,cnt_04ee010b7a,2,Как приручить дракона 3 (2019)
234,cnt_1738e679a3,1,Каникулы (2015)
234,cnt_7b6c5b35bb_2,2,Каникулы (2015)
235,cnt_99e9483cb1,1,Каратель: Территория войны (2008)
235,cnt_f4167a8a97,2,Каратель: Территория войны (2008)
236,cnt_a4e79a2503,1,"Кловерфилд, 10 (2016)"
236,cnt_f6f0a9d2dd,2,"Кловерфилд, 10 (2016)"
237,cnt_45667dc904,1,Ключ от всех дверей (2005)
237,cnt_4c01dbfd85,2,Ключ от всех дверей (2005)
238,cnt_e78c004001,1,Когда Гарри встретил Салли (1989)
238,cnt_fd426be09f,2,Когда Гарри встретил Салли (1989)
239,cnt_3c04e5867b,1,Конг: Остров Черепа (2017)
239,cnt_087d65ccdb,2,Конг: Остров Черепа (2017)
240,cnt_3c55412c69,1,Красавица и чудовище (2017)
240,cnt_0c1b87c6d7,2,Красавица и чудовище (2017)
241,cnt_fcac4928b0,1,Красная жара (1988)
241,cnt_3c45385992,2,Красная жара (1988)
242,cnt_2f437ccc39,1,Крепись (2015)
242,cnt_aa7ccfbaf8,2,Крепись (2015)
243,cnt_f199c83358,1,Крепкий орешек (1988)
243,cnt_fd3d2178bc,2,Крепкий орешек (1988)
244,cnt_290554ca43,1,Крёстный отец (1972)
244,cnt_fc500d77da,2,Крёстный отец (1972)
245,cnt_879c6bd7d4,1,Крёстный отец 2 (1974)
245,cnt_32a07eab66,2,Крёстный отец 2 (1974)
246,cnt_ab82aaf45a,1,Крик 3 (2000)
246,cnt_8d8ddaa54a,2,Крик 3 (2000)
247,cnt_0eb0681aa0,1,Крик 4 (2011)
247,cnt_40077d6759,2,Крик 4 (2011)
248,cnt_1fc4d59947,1,Крик 5 (2022)
248,cnt_d8e135bc1f,2,Крик 5 (2022)
249,cnt_3739c83f43,1,Крик 6 (2023)
249,cnt_212a57ce61,2,Крик 6 (2023)
250,cnt_8313c949b4,1,Круэлла (2021)
250,cnt_05a62368fb_2,2,Круэлла (2021)
251,cnt_e7c909e0ed,1,Кто я? (1998)
251,cnt_5abe406735,2,Кто я? (1998)
252,cnt_e5f78ca491,1,Куб (1997)
252,cnt_f77f93fed1,2,Куб (1997)
253,cnt_cfa414fb8c,1,Кукушка (2024)
253,cnt_b8f17d5fc8,2,Кукушка (2024)
254,cnt_da41f2bfa9,1,Лабиринт фавна (2006)
254,cnt_6cb903b695,2,Лабиринт фавна (2006)
255,cnt_5805c0af1e,1,Лига Справедливости Зака Снайдера (2021)
255,cnt_31b9ad5762,2,Лига Справедливости Зака Снайдера (2021)
256,cnt_12c48cb500,1,Лови волну! (2007)
256,cnt_df8ac0529c,2,Лови волну! (2007)
257,cnt_8c0e148223,1,Логан (2017)
257,cnt_84bbc0a913,2,Логан (2017)
258,cnt_d79debbb7d,1,Лок (2013)
258,cnt_86a4650815,2,Лок (2013)
259,cnt_f797c34e2c,1,Любовь и монстры (2020)
259,cnt_a43219a4fa,2,Любовь и монстры (2020)
260,cnt_37c1579fe6,1,Люди Икс (2000)
260,cnt_4be4226324,2,Люди Икс (2000)
261,cnt_21c4fd48ec,1,Люди Икс. Последняя битва (2006)
261,cnt_047b602f69,2,Люди Икс. Последняя битва (2006)
262,cnt_c6d45bc8b8,1,Малышка на миллион (2004)
262,cnt_19982c06f7,2,Малышка на миллион (2004)
263,cnt_9e83fda87b,1,Мальчишник в Вегасе (2009)
263,cnt_ae4c2e5857,2,Мальчишник в Вегасе (2009)
264,cnt_ac5e840502,1,Мама! (2017)
264,cnt_f9353c6d7b,2,Мама! (2017)
265,cnt_6f5e272c33,1,Мантикора (2011)
265,cnt_f1e0404eb7,2,Мантикора (2011)
266,cnt_c56d540342,1,Маска (1994)
266,cnt_556387cde9,2,Маска (1994)
267,cnt_bc9bf4908a,1,Мастер и Маргарита (2023)
267,cnt_b8d7065bd8,2,Мастер и Маргарита (2023)
268,cnt_025a1c2504,1,Месть нерожденному (2007)
268,cnt_47f9c6054e,2,Месть нерожденному (2007)
269,cnt_1e655e5869,1,Миссия невыполнима: Протокол Фантом (2011)
269,cnt_10510be07e,2,Миссия невыполнима: Протокол Фантом (2011)
270,cnt_63499ab4d0,1,Мотылёк (2017)
270,cnt_0ce6973069,2,Мотылёк (2017)
271,cnt_860dcd237a,1,Мужчина-болгарка: история Раза (2025)
271,cnt_12ee74c1f3,2,Мужчина-болгарка: история Раза (2025)
272,cnt_f55b812f6b,1,Муфаса (2024)
272,cnt_4d2d8f1992,2,Муфаса (2024)
273,cnt_3c54e0d8e9,1,Муха (1986)
273,cnt_3bfd620a2e,2,Муха (1986)
274,cnt_31b4bf9215,1,Мученицы (2008)
274,cnt_80d52ec7c4,2,Мученицы (2008)
275,cnt_b51092add2,1,Мэнди (2018)
275,cnt_18bff7c2de,2,Мэнди (2018)
276,cnt_9f3c464dfd,1,Мюнхен (2005)
276,cnt_7a2031f107,2,Мюнхен (2005)
277,cnt_fce872dfea,1,Наполеон Динамит (2004)
277,cnt_0ba3aeca64,2,Наполеон Динамит (2004)
278,cnt_a479b872ce,1,Начало (2010)
278,cnt_96ab3ca0f8_2,2,Начало (2010)
279,cnt_edd0e7c56b,1,Не шутите с Зоханом! (2008)
279,cnt_9deab9e7d1,2,Не шутите с Зоханом! (2008)
280,cnt_2f766f65d7,1,Невидимый гость (2016)
280,cnt_91cbfe606a,2,Невидимый гость (2016)
281,cnt_8924d9a35b,1,Невыносимая тяжесть огромного таланта (2022)
281,cnt_631eb906b7,2,Невыносимая тяжесть огромного таланта (2022)
282,cnt_dfc9f0ed8b,1,Незнайка на Луне (1997)
282,cnt_b4fc2e1ebc,2,Незнайка на Луне (1997)
283,cnt_8801fd6e29,1,Неправильные копы (2013)
283,cnt_d028c10705,2,Неправильные копы (2013)
284,cnt_d349a36277,1,"Никки, дьявол младший (2000)"
284,cnt_bd61f62e65,2,"Никки, дьявол младший (2000)"
285,cnt_61d5387f93,1,Ниндзя из Беверли-Хиллз (1997)
285,cnt_48d84879e7,2,Ниндзя из Беверли-Хиллз (1997)
286,cnt_f3a9b61ba0,1,Нити (1984)
286,cnt_1b6cc99b1e,2,Нити (1984)
287,cnt_83839c1542,1,Новогодний корпоратив (2016)
287,cnt_c469cbf184,2,Новогодний корпоратив (2016)
288,cnt_fc8e0888e3,1,Обитель зла (2002)
288,cnt_b56f601a39,2,Обитель зла (2002)
289,cnt_1761e5fb38,1,Одаренная (2017)
289,cnt_a0b0dc07d3,2,Одаренная (2017)
290,cnt_8002c768e1,1,Одержимость (2013)
290,cnt_783ebc34b0,2,Одержимость (2013)
291,cnt_d9f7d60392,1,Одержимые (2024)
291,cnt_030b1a088e,2,Одержимые (2024)
292,cnt_f3245612f6,1,Однажды в Ирландии (2011)
292,cnt_cff8597fd9,2,Однажды в Ирландии (2011)
293,cnt_3507178c82,1,Околофутбола (2013)
293,cnt_7e37c68b7d,2,Околофутбола (2013)
294,cnt_279a89b9ab,1,Олдбой (2003)
294,cnt_cf9fd9da5e,2,Олдбой (2003)
295,cnt_c08bb25844,1,Оленья кожа (2019)
295,cnt_d6cb11f1c0,2,Оленья кожа (2019)
296,cnt_6c28c35754,1,Орудия (2025)
296,cnt_87eb77737d,2,Орудия (2025)
297,cnt_d1f72b744e,1,Оружейный барон (2005)
297,cnt_5614bd9e5b,2,Оружейный барон (2005)
298,cnt_25530e2e9d,1,Основатель (2016)
298,cnt_4a4eec92d0,2,Основатель (2016)
299,cnt_76563a9c92,1,Оставленные (2014)
299,cnt_012023a0b1_2,2,Оставленные (2014)
300,cnt_4d401dbeb9,1,Отряд самоубийц: Миссия навылет (2021)
300,cnt_77fe26f457,2,Отряд самоубийц: Миссия навылет (2021)
301,cnt_1d0c1c1bd0,1,Отступники (2006)
301,cnt_58375583f2,2,Отступники (2006)
302,cnt_1169d6b5c0,1,Охота (2012)
302,cnt_0af6774780,2,Охота (2012)
303,cnt_87b85d33db,1,Охотник на лис (2014)
303,cnt_320ae25a2f,2,Охотник на лис (2014)
304,cnt_7d098366e0,1,Паразиты (2019)
304,cnt_de7e9e1f3c,2,Паразиты (2019)
305,cnt_47ca7bebc5,1,Перекрёсток Миллера (1990)
305,cnt_289e32b0c5,2,Перекрёсток Миллера (1990)
306,cnt_7c01e71026,1,Перл-Харбор (2001)
306,cnt_45058a58f7,2,Перл-Харбор (2001)
307,cnt_cbfab1cd00,1,Пианист (2002)
307,cnt_9c0cc049e9,2,Пианист (2002)
308,cnt_7a0241a9e9,1,Планета сокровищ (2002)
308,cnt_eef9a34561,2,Планета сокровищ (2002)
309,cnt_3e39486137,1,Платформа 2 (2024)
309,cnt_cc70afafd2,2,Платформа 2 (2024)
310,cnt_cffb894311,1,По ту сторону изгороди (2014)
310,cnt_4e66809af1,2,По ту сторону изгороди (2014)
311,cnt_1a1bee4d2a,1,Побег из Шоушенка (1994)
311,cnt_b8e4f7c6c2,2,Побег из Шоушенка (1994)
312,cnt_89e558d0b6,1,Повар на колесах (2014)
312,cnt_30bd331ac7,2,Повар на колесах (2014)
313,cnt_7ab331b712,1,Погребённый заживо (2010)
313,cnt_434481fcf0,2,Погребённый заживо (2010)
314,cnt_22c5940623,1,Под огнём (2025)
314,cnt_46713a864d,2,Под огнём (2025)
315,cnt_eead97082f,1,Подарок на Рождество (1996)
315,cnt_d4a2743a52,2,Подарок на Рождество (1996)
316,cnt_77218c35e3,1,Подмена (2008)
316,cnt_f521c0ddd2,2,Подмена (2008)
317,cnt_5ad8c16fed,1,Пожары (2010)
317,cnt_96ab3ca0f8_3,2,Пожары (2010)
318,cnt_706ed46799,1,Поиск (2018)
318,cnt_18bff7c2de_2,2,Поиск (2018)
319,cnt_3ffb38670f,1,Покидая Лас-Вегас (1995)
319,cnt_18cfb79895,2,Покидая Лас-Вегас (1995)
320,cnt_755cfeb7c0,1,Полицейская академия (1984)
320,cnt_cb78f6de4d,2,Полицейская академия (1984)
321,cnt_923c1547aa,1,Полицейская академия 2: Их первое задание (1985)
321,cnt_00de65ee65,2,Полицейская академия 2: Их первое задание (1985)
322,cnt_bad5cd6c4e,1,Полицейский из Беверли-Хиллз (1984)
322,cnt_ba4690ac05,2,Полицейский из Беверли-Хиллз (1984)
323,cnt_d85e4e4479,1,Полицейский из Беверли-Хиллз 2 (1987)
323,cnt_196f497561,2,Полицейский из Беверли-Хиллз 2 (1987)
324,cnt_bf921a7dc9,1,Полицейский из Беверли-Хиллз 3 (1994)
324,cnt_d4f525fa84,2,Полицейский из Беверли-Хиллз 3 (1994)
325,cnt_5546b3d583,1,Полицейский из Беверли-Хиллз 4 (2024)
325,cnt_b868f83fcc,2,Полицейский из Беверли-Хиллз 4 (2024)
326,cnt_12817415d5,1,После дождичка в четверг (1985)
326,cnt_a4486c4945,2,После дождичка в четверг (1985)
327,cnt_6060727a31,1,Поцелуй вампира (1988)
327,cnt_3a15d41c8d,2,Поцелуй вампира (1988)
328,cnt_d7efeba6d0,1,Правдивая история красной Шапки (2005)
328,cnt_ca2d0686b1,2,Правдивая история красной Шапки (2005)
329,cnt_241685f2fa,1,Престиж (2006)
329,cnt_56432b6144,2,Престиж (2006)
330,cnt_e6497d2412,1,Приключения Паддингтона (2014)
330,cnt_1e3af132af,2,Приключения Паддингтона (2014)
331,cnt_8da0fe50e4,1,Приключения Паддингтона 2 (2017)
331,cnt_e997cdfc2c,2,Приключения Паддингтона 2 (2017)
332,cnt_a76037416d,1,Приключения Паддингтона 3 (2024)
332,cnt_ac7739382b,2,Приключения Паддингтона 3 (2024)
333,cnt_a3adbb7fac,1,Прочь (2017)
333,cnt_84bbc0a913_2,2,Прочь (2017)
334,cnt_8a3c4fc420,1,Птицекалипсис: Шок и трепет (2010)
334,cnt_825871f601,2,Птицекалипсис: Шок и трепет (2010)
335,cnt_8e3e95fb3b,1,Птичий короб (2018)
335,cnt_81b974b2ed,2,Птичий короб (2018)
336,cnt_886419289d,1,Путешествие с Жириновским (1995)
336,cnt_ae503626e5,2,Путешествие с Жириновским (1995)
337,cnt_f43416ef47,1,Реквием по мечте (2000)
337,cnt_572cfba8de,2,Реквием по мечте (2000)
338,cnt_1a3a4372cc,1,Репортаж (2007)
338,cnt_5028df89bc,2,Репортаж (2007)
339,cnt_fcfcba2420,1,Рикер (2005)
339,cnt_1284494584,2,Рикер (2005)
340,cnt_41720af12c,1,Ромео истекает кровью (1993)
340,cnt_c52575d7e0,2,Ромео истекает кровью (1993)
341,cnt_bb76695697,1,Рэмпейдж (2018)
341,cnt_69a033d314,2,Рэмпейдж (2018)
342,cnt_bb07ad9542,1,Свинья (2021)
342,cnt_120bca1227,2,Свинья (2021)
343,cnt_529d2cc46a,1,Сезон охоты (2006)
343,cnt_e92af58a1d,2,Сезон охоты (2006)
344,cnt_a902ad5a23,1,Секреты Лос-Анджелеса (1997)
344,cnt_cc27a5961b,2,Секреты Лос-Анджелеса (1997)
345,cnt_cda84ab893,1,Сёрфер (2024)
345,cnt_4d2d8f1992_2,2,Сёрфер (2024)
346,cnt_183be212f8,1,Смертельное оружие (1987)
346,cnt_0596d39179,2,Смертельное оружие (1987)
347,cnt_ccc74c1fb1,1,Собачье сердце (1988)
347,cnt_fd3d2178bc_2,2,Собачье сердце (1988)
348,cnt_3e8975a581,1,Социальная сеть (2010)
348,cnt_77a03e69d2,2,Социальная сеть (2010)
349,cnt_1b7237c0b7,1,Спасти рядового Райана (1998)
349,cnt_6f79dd96aa,2,Спасти рядового Райана (1998)
350,cnt_8cb701cbb0,1,Спирит: Душа прерий (2002)
350,cnt_d081196c83,2,Спирит: Душа прерий (2002)
351,cnt_a365b5de38,1,Стальной гигант (1999)
351,cnt_f5e71e81dd,2,Стальной гигант (1999)
352,cnt_cbf79e7026,1,Старые песни о главном (1995)
352,cnt_f20dc137e0,2,Старые песни о главном (1995)
353,cnt_a061a705de,1,Стражи Галактики. Часть 3 (2023)
353,cnt_b6bb275419,2,Стражи Галактики. Часть 3 (2023)
354,cnt_c38d6bd105,1,Стрингер (2013)
354,cnt_425c46f585,2,Стрингер (2013)
355,cnt_b6dff7db3c,1,Судьбоносные открытия (2013)
355,cnt_eafe2b5ead,2,Судьбоносные открытия (2013)
356,cnt_d255e8a84e,1,Судья (2014)
356,cnt_a276f2b025,2,Судья (2014)
357,cnt_daf6f65b15,1,Суета и Движение (2005)
357,cnt_d27c4cf160,2,Суета и Движение (2005)
358,cnt_8b35b047d4,1,Суспирия (2018)
358,cnt_69a033d314_2,2,Суспирия (2018)
359,cnt_34df4d0df0,1,Тайна Коко (2017)
359,cnt_b6180cd0e4,2,Тайна Коко (2017)
360,cnt_5e46d8c836,1,Такие разные близнецы (2011)
360,cnt_70110d7ca5,2,Такие разные близнецы (2011)
361,cnt_4868f1bb7a,1,Такси (1998)
361,cnt_4fd0e0b750,2,Такси (1998)
362,cnt_18e39d9b97,1,Такси 2 (2000)
362,cnt_49a90e3609,2,Такси 2 (2000)
363,cnt_e29a0cff37,1,Талантливый мистер Рипли (1999)
363,cnt_88667266ef,2,Талантливый мистер Рипли (1999)
364,cnt_c65efb0b7d,1,Тело (2012)
364,cnt_869a240c50,2,Тело (2012)
365,cnt_936406a9b1,1,Титан: После гибели Земли (2000)
365,cnt_c664fd490f,2,Титан: После гибели Земли (2000)
366,cnt_23b5eefab3,1,Тихое место: Азраэль (2024)
366,cnt_e90d060539,2,Тихое место: Азраэль (2024)
367,cnt_d64faa19de,1,Тот самый Мюнхгаузен (1980)
367,cnt_c271ee7d99,2,Тот самый Мюнхгаузен (1980)
368,cnt_5ea8844fb8,1,Трудный ребенок (1990)
368,cnt_2820d74fc3,2,Трудный ребенок (1990)
369,cnt_fd48d55088,1,Уличный кот по кличке Боб (2016)
369,cnt_e9277a0bd2,2,Уличный кот по кличке Боб (2016)
370,cnt_05a9922817,1,Уличный мусор (1987)
370,cnt_e5e8354b76,2,Уличный мусор (1987)
371,cnt_b2416ae43a,1,Улыбка (2022)
371,cnt_90c43a28c4_2,2,Улыбка (2022)
372,cnt_d1b241a775,1,Улыбка 2 (2024)
372,cnt_3413894885,2,Улыбка 2 (2024)
373,cnt_db2e091eb2,1,Хатико: Самый верный друг (2008)
373,cnt_5e94a60598,2,Хатико: Самый верный друг (2008)
374,cnt_fcb6820ad7,1,Хижина в лесу (2011)
374,cnt_9f01583d00,2,Хижина в лесу (2011)
375,cnt_cad9090981,1,Хостел (2005)
375,cnt_7a2031f107_2,2,Хостел (2005)
376,cnt_162b64c37f,1,Хранители (2009)
376,cnt_4819afbde0,2,Хранители (2009)
377,cnt_607175d663,1,Цвет из иных миров (2019)
377,cnt_1c04a060fb,2,Цвет из иных миров (2019)
378,cnt_9edc5bdc48,1,Человек с бульвара Капуцинов (1987)
378,cnt_a420f1204d,2,Человек с бульвара Капуцинов (1987)
379,cnt_485bd08a06,1,Челюсти 4: Месть (1987)
379,cnt_7627fba713,2,Челюсти 4: Месть (1987)
380,cnt_ab3b9cc100,1,Черный лебедь (2010)
380,cnt_90d9377665,2,Черный лебедь (2010)
381,cnt_1ddacf6292,1,Чёрный рыцарь (2001)
381,cnt_0b26eea7ce,2,Чёрный рыцарь (2001)
